Date,Num_Coins
7/10/20,18429293.75
7/9/20,18428193.75
7/8/20,18427087.5
7/7/20,18426212.5
7/6/20,18425331.25
7/5/20,18424225
7/4/20,18423350
7/3/20,18422256.25
7/2/20,18421156.25
7/1/20,18420281.25
6/30/20,18419175
6/29/20,18418300
6/28/20,18417425
6/27/20,18416550
6/26/20,18415675
6/25/20,18414568.75
6/24/20,18413693.75
6/23/20,18412818.75
6/22/20,18411725
6/21/20,18410837.5
6/20/20,18409956.25
6/19/20,18409081.25
6/18/20,18408206.25
6/17/20,18407550
6/16/20,18406668.75
6/15/20,18405781.25
6/14/20,18404906.25
6/13/20,18403800
6/12/20,18402700
6/11/20,18401825
6/10/20,18400512.5
6/9/20,18399637.5
6/8/20,18398537.5
6/7/20,18397656.25
6/6/20,18396562.5
6/5/20,18395450
6/4/20,18394131.25
6/3/20,18393256.25
6/2/20,18392381.25
6/1/20,18391725
5/31/20,18390843.75
5/30/20,18389750
5/29/20,18388875
5/28/20,18387993.75
5/27/20,18387337.5
5/26/20,18386437.5
5/25/20,18385562.5
5/24/20,18384906.25
5/23/20,18384031.25
5/22/20,18383375
5/21/20,18382718.75
5/20/20,18381843.75
5/19/20,18381187.5
5/18/20,18380525
5/17/20,18379631.25
5/16/20,18378975
5/15/20,18378100
5/14/20,18377443.75
5/13/20,18376787.5
5/12/20,18375906.25
5/11/20,18375031.25
5/10/20,18373287.5
5/9/20,18371087.5
5/8/20,18369337.5
5/7/20,18367575
5/6/20,18365825
5/5/20,18364025
5/4/20,18361837.5
5/3/20,18360087.5
5/2/20,18357887.5
5/1/20,18356137.5
4/30/20,18354337.5
4/29/20,18352550
4/28/20,18350787.5
4/27/20,18348600
4/26/20,18346837.5
4/25/20,18345075
4/24/20,18343762.5
4/23/20,18341562.5
4/22/20,18339812.5
4/21/20,18338500
4/20/20,18336275
4/19/20,18334525
4/18/20,18332775
4/17/20,18330587.5
4/16/20,18328825
4/15/20,18327075
4/14/20,18324887.5
4/13/20,18322700
4/12/20,18320937.5
4/11/20,18318750
4/10/20,18316987.5
4/9/20,18314800
4/8/20,18312612.5
4/7/20,18311237.5
4/6/20,18309037.5
4/5/20,18307100
4/4/20,18305100
4/3/20,18303337.5
4/2/20,18301587.5
4/1/20,18299837.5
3/31/20,18296062.5
3/30/20,18295875
3/29/20,18294125
3/28/20,18291925
3/27/20,18290525
3/26/20,18288562.5
3/25/20,18286475
3/24/20,18285000
3/23/20,18283475
3/22/20,18282162.5
3/21/20,18279500
3/20/20,18279262.5
3/19/20,18277912.5
3/18/20,18276225
3/17/20,18273987.5
3/16/20,18273650
3/15/20,18272150
3/14/20,18270550
3/13/20,18268462.5
3/12/20,18267562.5
3/11/20,18265612.5
3/10/20,18262925
3/9/20,18262525
3/8/20,18260562.5
3/7/20,18257412.5
3/6/20,18256662.5
3/5/20,18254612.5
3/4/20,18251875
3/3/20,18250612.5
3/2/20,18249200
3/1/20,18246350
2/29/20,18247000
2/28/20,18242875
2/27/20,18240850
2/26/20,18238937.5
2/25/20,18237187.5
2/24/20,18235325
2/23/20,18233662.5
2/22/20,18231912.5
2/21/20,18229825
2/20/20,18228412.5
2/19/20,18226662.5
2/18/20,18224312.5
2/17/20,18223137.5
2/16/20,18220925
2/15/20,18218775
2/14/20,18217425
2/13/20,18215662.5
2/12/20,18213262.5
2/11/20,18212162.5
2/10/20,18210400
2/9/20,18207725
2/8/20,18206875
2/7/20,18205112.5
2/6/20,18202187.5
2/5/20,18202237.5
2/4/20,18200037.5
2/3/20,18196675
2/2/20,18196500
2/1/20,18194612.5
1/31/20,18191175
1/30/20,18190887.5
1/29/20,18188862.5
1/28/20,18185650
1/27/20,18185037.5
1/26/20,18183700
1/25/20,18180137.5
1/24/20,18179762.5
1/23/20,18177750
1/22/20,18174600
1/21/20,18173850
1/20/20,18172075
1/19/20,18170125
1/18/20,18167712.5
1/17/20,18166475
1/16/20,18164487.5
1/15/20,18162212.5
1/14/20,18160787.5
1/13/20,18159000
1/12/20,18156700
1/11/20,18155087.5
1/10/20,18153237.5
1/9/20,18151162.5
1/8/20,18149475
1/7/20,18145662.5
1/6/20,18145150
1/5/20,18143562.5
1/4/20,18140125
1/3/20,18139362.5
1/2/20,18137575
1/1/20,18134600
12/31/19,18133587.5
12/30/19,18131512.5
12/29/19,18129075
12/28/19,18127712.5
12/27/19,18125925
12/26/19,18123550
12/25/19,18121775
12/24/19,18120212.5
12/23/19,18118012.5
12/22/19,18116750
12/21/19,18114987.5
12/20/19,18112500
12/19/19,18110662.5
12/18/19,18108537.5
12/17/19,18106962.5
12/16/19,18105250
12/15/19,18103250
12/14/19,18101437.5
12/13/19,18099912.5
12/12/19,18097800
12/11/19,18095925
12/10/19,18094737.5
12/9/19,18092887.5
12/8/19,18090425
12/7/19,18089125
12/6/19,18087287.5
12/5/19,18084900
12/4/19,18083400
12/3/19,18081412.5
12/2/19,18079387.5
12/1/19,18077425
11/30/19,18075850
11/29/19,18073850
11/28/19,18072575
11/27/19,18070375
11/26/19,18068312.5
11/25/19,18067300
11/24/19,18065650
11/23/19,18062787.5
